host,dopant,content,T10,T50,T90,Width,Sharpness,Tp,Selected,Description
GST,Ni,1%,99.92420736612206,324.94920566437895,339.9465365885295,240.02232922240745,7.953522347439762,339.6996996996997,False,"GST doped with Ni at 1%. Ni (Nickel): Period 4, Z=28, M=58.69, Block d, Ox.states [2], Ionic radius: 69.0 pm, charge=2, coord=VI, EN: 1.91 (resistance)"
GST,Ni,2%,106.44545891137322,325.7070696460996,339.9495458580708,233.50408694669756,6.547972343939165,339.6996996996997,False,"GST doped with Ni at 2%. Ni (Nickel): Period 4, Z=28, M=58.69, Block d, Ox.states [2], Ionic radius: 69.0 pm, charge=2, coord=VI, EN: 1.91 (resistance)"
GST,Ni,3%,144.76303056086383,338.56020868493175,338.79912882407393,194.0360982632101,7.305760741249269,201.80180180180182,False,"GST doped with Ni at 3%. Ni (Nickel): Period 4, Z=28, M=58.69, Block d, Ox.states [2], Ionic radius: 69.0 pm, charge=2, coord=VI, EN: 1.91 (resistance)"
GST,Ni,4%,144.8582182024886,338.5315398465601,338.7933950563996,193.93517685391103,6.386513455986439,202.22222222222223,False,"GST doped with Ni at 4%. Ni (Nickel): Period 4, Z=28, M=58.69, Block d, Ox.states [2], Ionic radius: 69.0 pm, charge=2, coord=VI, EN: 1.91 (resistance)"
GST,Ni,5%,99.92459391682334,325.65834204387346,338.63960113567424,238.7150072188509,5.827592612450747,338.01801801801804,False,"GST doped with Ni at 5%. Ni (Nickel): Period 4, Z=28, M=58.69, Block d, Ox.states [2], Ionic radius: 69.0 pm, charge=2, coord=VI, EN: 1.91 (resistance)"
GST,W,1%,137.53021245755338,151.51611717545097,151.720640852508,14.190428394954637,7.165642397452077,151.77177177177177,True,"GST doped with W at 1%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,W,2%,140.47881689103355,151.52616115278073,151.72264964797395,11.243832756940407,6.091964060872414,151.77177177177177,True,"GST doped with W at 2%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,W,3%,133.96843714833798,193.97989041951544,194.1833654712909,60.214928322952915,6.770579160027344,200.96096096096096,False,"GST doped with W at 3%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,W,4%,139.24699652503676,331.4557573488248,331.66052083913473,192.41352431409797,7.475437750201108,338.4384384384384,False,"GST doped with W at 4%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,W,5%,144.48593785612314,165.39793324866983,165.59610316625088,21.11016531012774,7.436002739180843,170.2702702702703,True,"GST doped with W at 5%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
